group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain,series
block-study,Plain,,54368,,,,8,6796,6792,4,4,0.0005885815185403178,12.729292974147139,64,,,,Plain
block-study,Identity,,54368,,,,8,6796,6792,4,4,0.0005885815185403178,12.729292974147139,64,,,,Identity
block-study,Caesar,shift=3,54368,,,,8,6796,6792,4,4,0.0005885815185403178,12.729292974147139,64,,,,Caesar shift=3
block-study,Vigenere,key=lemon,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,Vigenere key=lemon
block-study,Columnar,cols=8,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,Columnar cols=8
block-study,Substitution,sha-keyed,54368,,,,8,6796,6792,4,4,0.0005885815185403178,12.729292974147139,64,,,,Substitution sha-keyed
block-study,XOR,key=lemon,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,XOR key=lemon
block-study,SHA-256,per word,248832,,,,8,31104,31104,0,0,0.0,14.924812503605782,64,,,,SHA-256 per word
block-study,AES-128,ECB,54384,,,,8,6798,6798,0,0,0.0,12.730894646541671,64,,,,AES-128 ECB
block-study,AES-128,CBC,54384,,,,8,6798,6798,0,0,0.0,12.730894646541671,64,,,,AES-128 CBC
block-study,AES-128,CTR,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-128 CTR
block-study,AES-128,CFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-128 CFB
block-study,AES-128,OFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-128 OFB
block-study,AES-256,ECB,54384,,,,8,6798,6798,0,0,0.0,12.730894646541671,64,,,,AES-256 ECB
block-study,AES-256,CBC,54384,,,,8,6798,6798,0,0,0.0,12.730894646541671,64,,,,AES-256 CBC
block-study,AES-256,CTR,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-256 CTR
block-study,AES-256,CFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-256 CFB
block-study,AES-256,OFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,AES-256 OFB
block-study,DES,ECB,54376,,,,8,6797,6793,4,4,0.0005884949242312785,12.729505417628335,64,,,,DES ECB
block-study,DES,CBC,54376,,,,8,6797,6797,0,0,0.0,12.730682407476797,64,,,,DES CBC
block-study,DES,CFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,DES CFB
block-study,DES,OFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,DES OFB
block-study,3DES,ECB,54376,,,,8,6797,6793,4,4,0.0005884949242312785,12.729505417628335,64,,,,3DES ECB
block-study,3DES,CBC,54376,,,,8,6797,6797,0,0,0.0,12.730682407476797,64,,,,3DES CBC
block-study,3DES,CFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,3DES CFB
block-study,3DES,OFB,54368,,,,8,6796,6796,0,0,0.0,12.73047013718422,64,,,,3DES OFB
block-study,Plain,,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Plain
block-study,Identity,,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Identity
block-study,Caesar,shift=3,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Caesar shift=3
block-study,Vigenere,key=lemon,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Vigenere key=lemon
block-study,Columnar,cols=8,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Columnar cols=8
block-study,Substitution,sha-keyed,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,Substitution sha-keyed
block-study,XOR,key=lemon,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,XOR key=lemon
block-study,SHA-256,per word,248832,,,,16,15552,15552,0,0,0.0,13.924812503605782,128,,,,SHA-256 per word
block-study,AES-128,ECB,54384,,,,16,3399,3399,0,0,0.0,11.730894646541667,128,,,,AES-128 ECB
block-study,AES-128,CBC,54384,,,,16,3399,3399,0,0,0.0,11.730894646541667,128,,,,AES-128 CBC
block-study,AES-128,CTR,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-128 CTR
block-study,AES-128,CFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-128 CFB
block-study,AES-128,OFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-128 OFB
block-study,AES-256,ECB,54384,,,,16,3399,3399,0,0,0.0,11.730894646541667,128,,,,AES-256 ECB
block-study,AES-256,CBC,54384,,,,16,3399,3399,0,0,0.0,11.730894646541667,128,,,,AES-256 CBC
block-study,AES-256,CTR,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-256 CTR
block-study,AES-256,CFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-256 CFB
block-study,AES-256,OFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,AES-256 OFB
block-study,DES,ECB,54376,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,DES ECB
block-study,DES,CBC,54376,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,DES CBC
block-study,DES,CFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,DES CFB
block-study,DES,OFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,DES OFB
block-study,3DES,ECB,54376,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,3DES ECB
block-study,3DES,CBC,54376,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,3DES CBC
block-study,3DES,CFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,3DES CFB
block-study,3DES,OFB,54368,,,,16,3398,3398,0,0,0.0,11.730470137184218,128,,,,3DES OFB
