group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain
ngram-study,Plain,,54368,1,54368,27,,,,,,,4.269125481757111,8,2.5860451533430022,0.0,0.0
ngram-study,Identity,,54368,1,54368,27,,,,,,,4.269125481757111,8,2.5860451533430022,0.0,0.0
ngram-study,Caesar,shift=3,54368,1,54368,27,,,,,,,4.269125481757111,8,2.5860451533430022,4.167164404477237,1.5495846204215495
ngram-study,Vigenere,key=lemon,54368,1,54368,38,,,,,,,4.873151753342826,8,2.167366046209227,24.671888824791985,24.253209717658216
ngram-study,Columnar,cols=8,54368,1,54368,27,,,,,,,4.269125481757111,8,2.5860451533430022,0.0,0.0
ngram-study,Substitution,sha-keyed,54368,1,54368,27,,,,,,,4.269125481757111,8,2.5860451533430022,22.98150535463503,20.534756988001366
ngram-study,XOR,key=lemon,54368,1,54368,34,,,,,,,4.784786616275852,8,2.2286160918269937,24.671888824791985,24.314459763275984
ngram-study,SHA-256,per word,248832,1,248832,256,,,,,,,7.999251758158708,8,0.0005186417226683494,2.585489095553409,19.5748836691709
ngram-study,Plain,,54368,2,54367,567,,,,,,,8.023738990404656,16,5.528722830211235,0.0,0.0
ngram-study,Identity,,54368,2,54367,567,,,,,,,8.023738990404656,16,5.528722830211235,0.0,0.0
ngram-study,Caesar,shift=3,54368,2,54367,567,,,,,,,8.023738990404656,16,5.528722830211235,9.30174758155599,7.193081075917498
ngram-study,Vigenere,key=lemon,54368,2,54367,1083,,,,,,,9.384588258049703,16,4.585453997176005,22.069389057180594,21.126120224145286
ngram-study,Columnar,cols=8,54368,2,54367,652,,,,,,,8.344274329653498,16,5.306544663541076,0.3749326440407057,1.0171376645398462
ngram-study,Substitution,sha-keyed,54368,2,54367,567,,,,,,,8.023738990404656,16,5.528722830211235,21.973037779446056,21.753792212408598
ngram-study,XOR,key=lemon,54368,2,54367,917,,,,,,,9.250264146430995,16,4.6785603764257315,22.069389057180594,21.219226603395086
ngram-study,SHA-256,per word,248832,2,248831,64052,,,,,,,15.79741799836065,16,0.14041914326850485,5.890823368165982,16.50520469871081
ngram-study,Plain,,54368,3,54366,5505,,,,,,,11.301591633016036,24,8.801865957173753,0.0,0.0
ngram-study,Identity,,54368,3,54366,5505,,,,,,,11.301591633016036,24,8.801865957173753,0.0,0.0
ngram-study,Caesar,shift=3,54368,3,54366,5505,,,,,,,11.301591633016036,24,8.801865957173753,15.59783190618188,15.422820168551493
ngram-study,Vigenere,key=lemon,54368,3,54366,13587,,,,,,,13.051473548619935,24,7.588940241060076,19.79735473966165,18.58442902354724
ngram-study,Columnar,cols=8,54368,3,54366,9154,,,,,,,12.184806172128027,24,8.189668289558725,2.0194021545261114,6.886633974905385
ngram-study,Substitution,sha-keyed,54368,3,54366,5505,,,,,,,11.301591633016036,24,8.801865957173753,19.79735473966165,19.79735473966165
ngram-study,XOR,key=lemon,54368,3,54366,12820,,,,,,,12.972088681927993,24,7.643965637586723,19.79735473966165,18.639454420073804
ngram-study,SHA-256,per word,248832,3,248830,247004,,,,,,,17.910084782205573,24,4.221207563063313,19.57107259297455,15.209424833566667
ngram-study,Plain,,54368,4,54365,21900,,,,,,,13.745124050020438,32,12.653315796199887,0.0,0.0
ngram-study,Identity,,54368,4,54365,21900,,,,,,,13.745124050020438,32,12.653315796199887,0.0,0.0
ngram-study,Caesar,shift=3,54368,4,54365,21900,,,,,,,13.745124050020438,32,12.653315796199887,17.460527545931253,17.537245738957182
ngram-study,Vigenere,key=lemon,54368,4,54365,38297,,,,,,,14.962038193500364,32,11.80981518866325,18.103627134215454,17.260126526678167
ngram-study,Columnar,cols=8,54368,4,54365,35581,,,,,,,14.758484300147664,32,11.950907995932676,11.703511396941952,13.737483302273116
ngram-study,Substitution,sha-keyed,54368,4,54365,21900,,,,,,,13.745124050020438,32,12.653315796199887,18.103627134215454,18.103627134215454
ngram-study,XOR,key=lemon,54368,4,54365,38072,,,,,,,14.951643634459327,32,11.817020147955713,18.103627134215454,17.267331485970573
ngram-study,SHA-256,per word,248832,4,248829,248826,,,,,,,17.924770996952486,32,9.756205299197951,18.103627134215454,15.20651663726962
ngram-study,Plain,,54368,8,54361,54143,,,,,,,15.722236146085141,64,33.46359589907993,0.0,0.0
ngram-study,Identity,,54368,8,54361,54143,,,,,,,15.722236146085141,64,33.46359589907993,0.0,0.0
ngram-study,Caesar,shift=3,54368,8,54361,54143,,,,,,,15.722236146085141,64,33.46359589907993,16.733197459188176,16.733197459188176
ngram-study,Vigenere,key=lemon,54368,8,54361,54336,,,,,,,15.729364598008475,64,33.45865483272752,16.733197459188176,16.728256392835867
ngram-study,Columnar,cols=8,54368,8,54361,54322,,,,,,,15.72880786317088,64,33.459040731910505,16.733197459188176,16.728642292018865
ngram-study,Substitution,sha-keyed,54368,8,54361,54143,,,,,,,15.722236146085141,64,33.46359589907993,16.733197459188176,16.733197459188176
ngram-study,XOR,key=lemon,54368,8,54361,54336,,,,,,,15.729364598008475,64,33.45865483272752,16.733197459188176,16.728256392835867
ngram-study,SHA-256,per word,248832,8,248825,248825,,,,,,,17.924771917960292,64,31.936914438722223,16.733197459188176,15.206515998888522
